,data,denominazione_regione,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_isolation,total_positives,discharged_healed,deceased,total_cases,swabs
826,2020-04-05,Lazio,0,4,3,77,80,36,7,123,34
827,2020-04-05,Liguria,5,0,1,198,199,33,14,246,960
828,2020-04-05,Lombardia,7,0,0,906,904,184,249,1337,8107
829,2020-04-05,Marche,0,0,0,93,81,17,25,123,780
830,2020-04-05,Molise,2,0,2,14,16,0,2,18,0
831,2020-04-05,Piemonte,31,0,25,459,484,129,40,653,1358
832,2020-04-05,Puglia,0,6,0,96,49,19,9,77,1103
833,2020-04-05,Sardegna,3,1,4,22,26,5,2,33,368
834,2020-04-05,Sicilia,3,2,5,43,48,9,5,62,2008
835,2020-04-05,Toscana,0,0,0,159,131,27,18,176,3120
836,2020-04-05,Trentino-Alto Adige,0,0,0,129,67,31,19,117,1291
837,2020-04-05,Umbria,0,1,0,0,0,56,2,29,639
838,2020-04-05,Valle d'Aosta,33,0,33,0,16,9,9,34,116
839,2020-04-05,Veneto,0,5,0,328,316,62,24,402,7621
840,2020-04-06,Abruzzo,0,0,0,13,5,2,11,18,600
841,2020-04-06,Basilicata,0,0,0,8,8,1,0,9,130
842,2020-04-06,Calabria,0,1,0,19,16,4,2,22,556
843,2020-04-06,Campania,1,0,0,83,77,6,15,98,1387
844,2020-04-06,Emilia-Romagna,0,0,0,252,214,196,57,467,2177
845,2020-04-06,Friuli Venezia Giulia,4,0,0,33,33,18,4,55,620
846,2020-04-06,Lazio,0,0,0,114,114,27,10,151,2812
847,2020-04-06,Liguria,15,0,12,12,24,37,39,100,486
848,2020-04-06,Lombardia,0,26,0,414,345,437,297,1079,5005
849,2020-04-06,Marche,14,0,3,125,128,9,13,150,667
850,2020-04-06,Molise,1,0,0,0,0,0,0,0,42
851,2020-04-06,Piemonte,12,0,6,362,368,111,83,562,2584
852,2020-04-06,Puglia,51,0,0,104,93,21,13,127,1979
853,2020-04-06,Sardegna,0,1,0,6,4,7,4,15,364
854,2020-04-06,Sicilia,7,0,5,36,41,4,7,52,1560
855,2020-04-06,Toscana,5,3,8,108,116,13,25,154,1843
856,2020-04-06,Trentino-Alto Adige,8,0,6,71,77,45,19,141,1756
857,2020-04-06,Umbria,0,1,1,0,0,39,1,14,125
858,2020-04-06,Valle d'Aosta,13,0,11,0,0,27,5,23,200
859,2020-04-06,Veneto,40,0,33,280,313,18,31,362,5378
860,2020-04-07,Abruzzo,0,1,0,68,66,9,3,78,706
861,2020-04-07,Basilicata,1,0,0,3,3,0,1,4,99
862,2020-04-07,Calabria,0,0,0,12,11,3,2,16,439
863,2020-04-07,Campania,0,2,0,72,67,11,12,90,1253
864,2020-04-07,Emilia-Romagna,0,0,0,57,0,200,72,269,3028
865,2020-04-07,Friuli Venezia Giulia,0,0,0,0,0,61,6,50,1264
866,2020-04-07,Lazio,0,0,0,76,65,44,9,118,1404
867,2020-04-07,Liguria,0,0,0,152,95,88,25,208,1046
868,2020-04-07,Lombardia,0,0,0,0,0,635,282,791,4342
869,2020-04-07,Marche,0,0,0,72,32,46,18,96,700
870,2020-04-07,Molise,1,0,1,0,0,2,0,0,35
871,2020-04-07,Piemonte,69,0,63,96,159,192,68,419,2998
872,2020-04-07,Puglia,0,0,0,36,22,34,14,70,1090
873,2020-04-07,Sardegna,0,0,0,3,2,6,5,13,159
874,2020-04-07,Sicilia,0,0,0,46,44,5,2,51,1393
875,2020-04-07,Toscana,0,0,0,171,126,27,19,172,3802
876,2020-04-07,Trentino-Alto Adige,86,11,97,0,93,100,24,217,1836
877,2020-04-07,Umbria,0,0,0,0,0,31,5,10,701
878,2020-04-07,Valle d'Aosta,9,0,5,21,26,0,4,30,164
879,2020-04-07,Veneto,0,0,0,403,243,61,33,337,7254
880,2020-04-08,Abruzzo,0,0,0,54,43,10,7,60,942
881,2020-04-08,Basilicata,1,0,1,4,5,1,0,6,136
882,2020-04-08,Calabria,1,1,2,20,22,4,0,26,905
883,2020-04-08,Campania,5,0,0,95,94,21,5,120,2005
884,2020-04-08,Emilia-Romagna,19,0,14,48,62,293,54,409,3176
885,2020-04-08,Friuli Venezia Giulia,0,0,0,62,36,24,5,65,1262
886,2020-04-08,Lazio,12,4,16,67,83,28,6,117,6239
887,2020-04-08,Liguria,19,0,16,17,33,82,34,149,942
888,2020-04-08,Lombardia,0,0,0,364,202,649,238,1089,8226
889,2020-04-08,Marche,12,0,6,0,0,303,22,149,913
890,2020-04-08,Molise,0,0,0,2,0,6,0,2,421
